transaction_id,customer_id,transaction_date,transaction_value,channel
143,3,2025-10-08,33.46,Online
144,19,2025-02-21,66.83,Online
145,25,2025-04-20,226.27,Online
146,44,2025-09-05,210.09,Store
147,8,2025-12-31,141.12,Online
148,47,2025-10-25,164.5,Store
149,13,2025-06-03,194.28,Store
150,8,2025-03-27,140.02,Store
151,39,2025-12-17,222.16,Online
152,43,2025-04-11,217.44,Online
153,34,2025-05-05,442.69,Store
154,7,2025-12-19,69.06,Online
155,7,2025-07-25,70.06,Store
156,22,2025-04-07,133.0,Online
157,25,2025-01-02,327.58,Online
158,55,2025-06-06,233.45,Store
159,16,2025-12-26,178.13,Online
160,11,2025-06-07,243.7,Online
161,53,2025-09-13,144.64,Online
162,9,2025-04-03,82.49,Online
163,2,2025-10-11,378.73,Store
164,24,2025-10-11,137.52,Online
165,23,2025-08-11,214.4,Online
166,35,2025-10-09,7.53,Online
167,49,2025-07-31,9.9,Partner
168,52,2025-05-19,115.94,Online
169,16,2025-09-27,48.7,Partner
170,54,2025-11-01,123.53,Store
171,35,2025-11-03,69.98,Online
172,4,2025-03-19,482.63,Store
173,52,2025-09-04,203.45,Store
174,8,2025-01-02,258.8,Online
175,33,2025-07-28,12.73,Online
176,44,2025-07-28,176.54,Store
177,14,2025-05-13,89.98,Store
178,15,2025-12-29,261.95,Store
179,27,2025-11-19,159.82,Partner
180,49,2025-01-15,99.89,Online
181,13,2025-03-18,36.88,Store
182,37,2025-03-17,114.36,Store
183,25,2025-11-24,222.98,Online
184,7,2025-07-09,271.6,Online
185,40,2025-09-24,78.41,Online
186,46,2025-10-23,434.65,Store
187,32,2025-10-08,211.85,Online
188,10,2025-02-02,49.57,Store
189,9,2025-02-21,40.18,Online
190,24,2025-05-25,94.28,Online
191,28,2025-05-04,78.25,Store
192,31,2025-09-30,145.43,Online
193,14,2025-02-27,105.9,Store
194,28,2025-05-16,83.44,Online
195,17,2025-03-28,25.19,Partner
196,38,2025-03-10,163.12,Online
197,44,2025-03-05,23.02,Partner
198,36,2025-03-13,212.3,Store
199,1,2025-07-25,14.57,Online
200,55,2025-05-30,21.63,Online
201,2,2025-06-08,49.38,Online
202,55,2025-06-24,72.91,Store
203,2,2025-09-28,61.47,Store
204,29,2025-11-11,72.66,Online
205,6,2025-07-12,125.28,Online
206,6,2025-08-23,50.38,Store
207,38,2025-09-27,126.1,Online
208,41,2025-09-09,7.67,Store
209,7,2025-02-19,48.75,Online
210,54,2025-12-25,20.51,Store
211,18,2025-03-02,210.7,Partner
212,18,2025-05-31,56.24,Online
213,17,2025-08-27,156.28,Online
214,26,2025-05-28,16.7,Online
215,10,2025-03-30,268.72,Store
216,24,2025-12-04,110.44,Online
217,12,2025-01-27,101.41,Partner
218,3,2025-03-31,25.5,Store
219,21,2025-12-29,43.58,Online
220,37,2025-09-24,85.49,Store
221,42,2025-02-01,45.09,Online
222,20,2025-10-03,197.12,Store
223,18,2025-12-20,108.03,Online
224,44,2025-02-05,45.59,Store
225,38,2025-06-01,177.36,Partner
226,46,2025-06-20,76.92,Store
227,50,2025-02-17,171.97,Store
228,46,2025-03-15,67.48,Online
229,52,2025-03-05,148.93,Store
230,23,2025-03-09,74.8,Store
231,22,2025-05-28,197.16,
232,18,2025-06-19,17.13,Online
233,13,2025-03-28,34.13,Online
234,42,2025-04-16,91.48,Store
235,40,2025-03-12,58.4,Online
236,45,2025-10-18,73.0,Store
237,10,2025-03-19,160.87,Store
238,28,2025-11-28,71.77,Partner
239,13,2025-07-16,129.32,Online
240,50,2025-10-20,48.45,Partner
241,15,2025-08-21,13.17,Online
242,8,2025-04-08,171.25,Online
243,32,2025-08-08,308.6,Store
244,49,2025-04-11,119.89,Online
245,51,2025-02-13,95.31,Online
246,6,2025-04-03,110.93,Online
247,18,2025-04-11,244.89,Online
248,9,2025-02-19,120.92,Store
249,17,2025-01-09,176.93,Online
250,30,2025-12-11,171.65,Online
251,16,2025-07-07,208.37,Store
252,4,2025-05-27,93.76,Online
253,29,2025-12-06,66.74,Store
254,3,2025-03-24,150.09,Partner
255,13,2025-05-28,198.64,Store
256,1,2025-11-06,224.05,Store
257,5,2025-08-19,264.72,Online
258,24,2025-05-26,186.82,Store
259,47,2025-04-04,63.78,Online
260,43,2025-01-13,119.79,Online
261,6,2025-02-01,112.25,Store
262,2,2025-03-01,103.49,Online
263,19,2025-10-15,150.3,Store
264,36,2025-08-22,87.33,Store
265,42,2025-06-08,87.42,Partner
266,46,2025-10-13,320.73,Online
267,19,2025-02-28,97.49,Online
268,10,2025-03-18,207.37,Store
269,2,2025-05-24,215.38,Online
270,9,2025-12-01,122.17,Online
271,4,2025-08-13,90.07,Store
272,48,2025-11-07,50.19,Partner
273,15,2025-04-01,22.66,Store
274,46,2025-11-06,157.78,Online
275,31,2025-01-27,136.45,Online
276,30,2025-03-25,173.94,Store
277,26,2025-07-10,70.24,Online
278,46,2025-01-19,341.66,Online
279,3,2025-11-10,144.99,Online
280,6,2025-11-13,94.75,Online
281,24,2025-07-17,12.18,Online
282,22,2025-04-22,76.67,Online
283,31,2025-02-06,179.56,Store
284,41,2025-08-14,260.28,Online
285,33,2025-07-16,106.17,Store
286,15,2025-10-05,288.08,Online
287,19,2025-08-08,46.92,Store
288,42,2025-02-16,139.36,Online
289,12,2025-02-14,142.13,Online
290,28,2025-10-13,158.65,Online
291,30,2025-02-28,117.03,Online
292,42,2025-12-09,134.06,Online
293,40,2025-02-08,45.94,Store
294,26,2025-09-23,244.17,Partner
295,18,2025-12-22,193.94,
296,21,2025-06-11,130.38,Online
297,23,2025-01-21,196.98,Store
298,13,2025-11-16,249.27,Store
299,35,2025-03-10,157.08,Online
300,12,2025-07-12,365.3,Store
301,36,2025-12-26,166.1,Online
302,42,2025-09-29,52.42,Store
303,53,2025-01-17,125.77,Online
304,7,2025-10-27,202.12,Online
305,42,2025-02-28,249.43,Online
306,5,2025-10-01,118.83,Store
307,19,2025-08-15,48.91,Online
308,10,2025-04-16,88.6,Store
309,9,2025-06-04,31.62,Store
310,10,2025-02-13,177.84,Store
311,3,2025-12-27,75.92,Online
312,46,2025-03-28,59.63,Online
313,4,2025-04-23,189.65,Online
314,22,2025-07-03,284.36,Store
315,39,2025-09-03,59.42,Partner
316,55,2025-07-04,119.39,Online
317,47,2025-07-04,91.44,Store
318,8,2025-08-01,256.96,Online
319,55,2025-11-10,99.51,Online
320,36,2025-05-25,44.96,Online
321,10,2025-10-31,103.07,Store
322,25,2025-10-15,222.75,Online
323,51,2025-12-17,87.41,Online
324,22,2025-11-30,64.67,Store
325,11,2025-10-19,96.2,Online
326,49,2025-04-01,46.24,Online
327,53,2025-10-10,91.36,Online
328,54,2025-09-26,68.7,Online
329,53,2025-04-16,407.84,Online
330,49,2025-09-05,15.9,Online
331,25,2025-04-03,52.23,Store
332,11,2025-07-10,64.63,Online
333,34,2025-10-18,46.52,Store
334,13,2025-03-10,140.31,Online
335,27,2025-05-03,58.53,Online
336,37,2025-10-18,28.38,Online
337,53,2025-06-15,111.85,Online
338,16,2025-12-17,83.59,
339,14,2025-01-03,60.85,Online
340,41,2025-09-21,252.79,Partner
341,1,2025-10-25,143.61,Store
342,32,2025-12-02,132.65,Online
343,42,2025-02-27,145.83,Store
344,31,2025-12-26,140.7,Store
345,22,2025-05-24,86.9,Store
346,46,2025-05-09,59.05,Online
347,21,2025-05-10,113.64,Online
348,40,2025-08-21,85.68,Online
349,26,2025-08-29,15.64,Online
350,2,2025-06-22,43.0,Online
351,30,2025-01-26,77.56,Store
352,3,2025-12-27,192.37,Partner
353,52,2025-03-23,114.0,Online
354,34,2025-02-04,50.56,Online
355,21,2025-08-07,39.72,Online
356,27,2025-05-31,220.08,Online
357,35,2025-08-13,89.99,Store
358,15,2025-11-16,2.82,Online
359,16,2025-02-05,94.38,
360,24,2025-04-14,165.44,Partner
361,15,2025-07-08,38.61,Store
362,42,2025-10-15,107.83,Store
363,6,2025-08-08,115.32,Online
364,46,2025-05-20,40.77,Online
365,20,2025-08-11,233.3,Online
366,31,2025-12-24,116.77,Store
367,9,2025-06-25,77.25,Online
368,22,2025-11-19,90.45,Store
369,42,2025-10-12,33.95,Online
370,15,2025-04-20,32.62,Online
371,8,2025-04-02,71.7,Online
372,29,2025-10-09,75.28,Partner
373,9,2025-03-17,85.99,Online
374,18,2025-05-03,246.82,Online
375,25,2025-03-27,159.42,Online
376,32,2025-08-10,18.68,Store
377,36,2025-04-18,216.84,Partner
378,38,2025-08-29,71.25,Online
379,47,2025-12-08,169.94,Partner
380,4,2025-10-30,75.84,Online
381,20,2025-12-13,111.46,Store
382,1,2025-01-09,36.41,Online
383,1,2025-06-16,129.65,Online
384,12,2025-03-22,183.12,Store
385,33,2025-12-02,22.79,Online
386,50,2025-09-17,185.02,Online
387,43,2025-04-27,58.85,Store
388,36,2025-07-25,298.71,Partner
389,43,2025-08-09,172.07,Online
390,10,2025-06-30,152.39,Store
391,47,2025-06-23,90.85,Store
392,49,2025-01-21,455.19,Online
393,6,2025-06-15,71.61,Store
394,26,2025-05-08,43.9,Online
395,46,2025-10-26,60.57,Store
396,27,2025-11-12,205.41,Online
397,47,2025-10-01,109.93,Online
398,52,2025-01-12,98.48,Online
399,27,2025-11-04,72.46,Online
400,4,2025-05-25,94.72,Store
401,19,2025-06-01,68.55,Partner
402,12,2025-12-11,162.26,Online
403,27,2025-11-13,84.51,Online
404,33,2025-01-19,61.5,Online
405,26,2025-05-12,194.14,Online
406,11,2025-10-01,45.15,Online
407,17,2025-07-16,111.05,Store
408,38,2025-04-05,15.52,Store
409,2,2025-07-11,30.09,Online
410,12,2025-11-13,77.64,Online
411,50,2025-03-23,67.55,Store
412,6,2025-09-30,67.47,Online
413,23,2025-09-26,173.13,Online
414,12,2025-11-20,179.95,Online
415,6,2025-04-19,126.81,Online
416,24,2025-03-20,43.04,Online
417,29,2025-07-19,94.18,Store
418,10,2025-07-13,325.81,Online
419,5,2025-05-30,427.23,Store
420,8,2025-10-12,195.4,Online
421,36,2025-10-19,44.55,Store
422,48,2025-03-31,94.8,Online
423,10,2025-10-18,120.99,Online
424,18,2025-03-26,108.44,Online
425,19,2025-05-29,209.02,Online
426,20,2025-01-10,168.06,Online
427,14,2025-05-05,42.45,Store
428,4,2025-12-16,62.72,Online
429,29,2025-06-11,194.86,Online
430,20,2025-09-17,252.1,Online
431,19,2025-02-09,122.06,Store
432,15,2025-08-20,272.38,Store
433,52,2025-05-16,112.44,Store
434,34,2025-09-29,49.27,Store
435,24,2025-12-05,157.94,Store
436,12,2025-07-14,546.89,Store
437,45,2025-02-07,34.2,Online
438,49,2025-06-23,265.8,Store
439,2,2025-02-14,151.95,Store
440,52,2025-06-14,59.71,Online
441,39,2025-01-23,15.96,Store
442,6,2025-08-22,9.53,Online
443,42,2025-04-24,67.36,Online
444,6,2025-03-15,135.43,
445,3,2025-01-07,185.54,Store
446,7,2025-11-21,214.47,Store
447,26,2025-11-02,127.2,Online
448,35,2025-10-24,113.68,Online
449,23,2025-01-22,79.66,Online
450,7,2025-05-08,137.72,Online
451,11,2025-12-21,60.46,Partner
452,47,2025-07-31,35.93,Online
453,53,2025-02-16,108.69,Online
454,42,2025-02-21,176.2,Online
455,6,2025-04-07,29.1,Partner
456,46,2025-12-21,67.36,Online
457,39,2025-03-03,105.79,Store
458,29,2025-11-26,104.18,Online
459,8,2025-09-05,149.2,Online
460,55,2025-12-03,319.91,Store
461,25,2025-10-29,9.65,Online
462,3,2025-05-02,329.08,Store
463,12,2025-10-30,310.86,Online
464,23,2025-03-03,187.59,Store
465,4,2025-04-17,120.46,Store
466,18,2025-03-19,61.45,Store
467,26,2025-02-18,186.07,Online
468,53,2025-02-02,124.9,Store
469,5,2025-03-10,80.98,Partner
470,32,2025-02-13,182.86,Online
471,51,2025-05-19,204.26,Online
472,45,2025-01-27,250.83,Store
473,51,2025-01-23,55.96,Online
474,10,2025-12-28,230.1,Store
475,45,2025-02-02,82.16,Store
476,54,2025-01-28,120.7,Online
477,18,2025-01-11,137.8,Store
478,28,2025-02-18,217.98,Store
479,30,2025-07-12,170.48,Online
480,28,2025-10-29,79.93,Store
481,16,2025-09-26,11.41,Online
482,54,2025-07-31,147.98,Online
483,53,2025-02-01,117.15,Store
484,21,2025-10-10,33.78,Online
485,45,2025-01-14,127.28,Store
486,22,2025-08-19,104.81,Online
487,44,2025-05-30,249.24,Online
488,33,2025-11-18,343.47,Online
489,26,2025-04-23,200.92,Store
490,8,2025-08-22,100.37,Store
491,37,2025-06-10,111.88,Store
492,18,2025-07-10,54.29,Partner
493,12,2025-12-09,63.31,Store
494,11,2025-09-18,96.07,Store
495,55,2025-06-01,88.66,Online
496,6,2025-06-13,31.94,Partner
497,44,2025-09-15,250.92,Store
498,48,2025-05-07,273.91,Store
499,2,2025-03-03,245.7,Online
500,33,2025-06-20,279.94,Online
501,32,2025-01-25,407.38,Store
502,20,2025-03-03,55.17,Online
503,37,2025-06-03,396.33,Online
504,23,2025-10-18,79.55,Partner
505,25,2025-10-13,163.5,Online
506,24,2025-04-06,24.75,Online
507,45,2025-06-04,71.69,Online
508,35,2025-02-26,204.73,Online
509,21,2025-10-03,168.88,Store
510,51,2025-03-31,78.34,Partner
511,45,2025-10-19,111.84,Partner
512,52,2025-11-04,65.7,Store
513,41,2025-09-09,204.36,Store
514,22,2025-05-01,261.84,Online
515,43,2025-12-14,55.38,Store
516,19,2025-09-08,103.66,Online
517,15,2025-08-24,30.69,Online
518,25,2025-11-09,124.57,Partner
519,54,2025-11-18,151.91,Store
520,32,2025-01-29,131.91,Online
521,22,2025-11-18,143.77,Store
522,26,2025-10-07,95.63,Online
523,17,2025-03-17,97.35,Online
524,37,2025-04-23,93.98,Online
525,20,2025-10-02,69.94,Online
526,31,2025-03-21,77.08,Online
527,21,2025-06-15,147.18,Online
528,18,2025-09-09,251.09,Online
529,54,2025-08-26,47.25,Online
530,20,2025-11-29,97.08,Partner
531,4,2025-02-10,38.68,Store
532,21,2025-04-18,70.98,Store
533,30,2025-12-26,80.72,Online
534,6,2025-07-27,118.38,Store
535,17,2025-04-01,116.02,Store
536,10,2025-04-16,102.98,Online
537,28,2025-05-04,138.97,Online
538,40,2025-07-22,51.35,Online
539,54,2025-04-14,119.08,Online
540,22,2025-08-15,172.15,Online
541,48,2025-06-12,50.79,Online
542,12,2025-08-11,19.93,Online
543,43,2025-02-26,203.27,Store
544,31,2025-08-16,39.85,Online
545,42,2025-12-04,68.2,Online
546,42,2025-02-19,168.85,Store
547,30,2025-04-30,48.55,Online
548,15,2025-09-11,194.1,Online
549,29,2025-08-14,60.36,
550,46,2025-09-04,54.3,Online
551,54,2025-07-24,38.86,Online
552,52,2025-09-07,60.81,Online
553,10,2025-08-11,153.82,Online
554,33,2025-01-28,68.21,Partner
555,6,2025-10-02,203.82,Partner
556,37,2025-06-13,106.06,Online
557,55,2025-01-19,112.89,Online
558,3,2025-05-30,52.89,Online
559,37,2025-06-08,223.77,Store
560,53,2025-02-01,173.09,Store
561,47,2025-12-30,169.84,Online
562,22,2025-03-23,91.58,Online
563,6,2025-05-01,34.52,
564,51,2025-06-10,117.25,Store
565,51,2025-10-31,149.41,Store
566,32,2025-09-29,150.43,Online
567,54,2025-10-09,136.92,Store
568,1,2025-03-28,133.03,Online
569,34,2025-11-05,60.12,Store
570,3,2025-10-30,62.57,Partner
571,52,2025-06-19,39.21,Online
572,38,2025-07-19,205.37,Online
573,51,2025-01-14,333.61,Store
574,31,2025-10-05,540.55,Online
575,5,2025-12-17,123.06,Store
576,2,2025-06-22,133.26,Online
577,19,2025-07-17,94.34,Store
578,41,2025-07-02,121.71,Online
579,9,2025-01-31,48.39,Online
580,47,2025-08-15,92.92,Online
581,14,2025-09-21,54.67,Online
582,28,2025-12-05,84.11,Online
583,12,2025-12-06,58.63,Store
584,26,2025-06-29,149.47,Online
585,25,2025-12-17,162.37,Online
586,1,2025-07-12,130.43,Online
587,32,2025-08-23,62.79,Online
588,44,2025-08-08,36.76,Store
589,52,2025-12-31,163.59,Partner
590,19,2025-09-27,105.65,Online
591,49,2025-02-13,19.04,Store
592,49,2025-01-27,116.56,Store
593,55,2025-05-30,133.95,Partner
594,21,2025-07-08,26.23,Online
595,47,2025-09-02,151.24,Online
596,32,2025-06-25,30.36,Online
597,4,2025-07-07,57.35,Store
598,15,2025-12-03,30.56,Store
599,37,2025-05-03,52.47,Online
600,9,2025-06-30,37.05,Online
601,24,2025-07-23,204.52,Store
602,43,2025-06-20,87.92,
603,9,2025-12-20,74.33,Online
604,28,2025-12-18,217.26,Store
605,12,2025-07-07,210.04,Online
606,30,2025-06-14,79.0,Online
607,14,2025-08-03,128.68,Online
608,54,2025-03-08,66.73,Store
609,5,2025-06-05,98.11,Partner
610,53,2025-03-21,43.29,Online
611,44,2025-02-22,141.85,Online
612,48,2025-02-04,222.86,Online
613,47,2025-08-03,197.85,Online
614,11,2025-01-01,109.22,Online
615,52,2025-08-24,17.09,Online
616,33,2025-06-07,64.3,Online
617,53,2025-05-14,98.02,Online
618,49,2025-10-08,32.76,Online
619,32,2025-07-16,27.62,Store
620,21,2025-09-25,263.05,Online
621,7,2025-09-16,182.87,Store
622,6,2025-01-12,149.38,Partner
623,22,2025-03-20,169.05,Store
624,45,2025-07-28,38.17,Online
625,28,2025-12-23,51.0,Online
626,27,2025-02-26,123.32,Store
627,14,2025-02-08,130.13,Online
628,32,2025-12-10,30.97,Online
629,36,2025-12-19,117.27,Online
630,55,2025-03-03,99.34,Online
631,41,2025-05-27,193.72,Online
632,34,2025-08-17,130.57,Store
633,51,2025-03-13,282.42,Online
634,24,2025-04-30,79.34,Online
635,52,2025-05-25,40.52,Store
636,21,2025-08-23,277.67,Online
637,8,2025-04-23,135.31,Store
638,23,2025-05-31,99.77,Online
639,8,2025-04-16,52.63,
640,7,2025-10-05,80.05,Partner
641,49,2025-02-25,76.85,Online
642,44,2025-03-26,38.93,Online
643,13,2025-04-02,11.73,Partner
644,47,2025-11-27,75.46,Store
645,4,2025-12-11,171.93,Store
646,16,2025-07-02,235.2,Online
647,39,2025-02-27,198.7,Online
648,17,2025-10-03,206.28,Store
649,41,2025-06-29,43.15,Online
650,49,2025-11-07,124.95,Online
651,4,2025-05-12,150.17,Store
652,2,2025-12-31,156.7,Online
653,52,2025-10-22,98.16,Online
654,29,2025-03-23,114.48,Online
655,28,2025-09-22,194.86,Online
656,26,2025-04-15,146.52,Store
657,24,2025-05-08,165.18,Store
658,38,2025-04-02,72.79,Online
659,32,2025-09-07,159.43,Online
660,9,2025-04-06,113.41,Online
661,35,2025-08-22,182.15,Online
662,37,2025-08-01,60.1,Online
663,7,2025-10-02,172.49,Partner
664,21,2025-12-29,80.89,Online
665,44,2025-01-04,173.02,Online
666,35,2025-12-28,125.51,Partner
667,8,2025-02-09,107.56,Online
668,3,2025-07-12,84.26,Partner
669,32,2025-05-05,100.08,Online
670,26,2025-08-22,75.6,Online
671,53,2025-09-21,82.94,Partner
672,29,2025-11-10,143.88,Online
673,52,2025-05-27,22.49,Online
674,12,2025-12-07,171.45,Online
675,25,2025-04-28,173.37,Store
676,8,2025-03-16,86.18,Store
677,32,2025-05-19,116.6,Online
678,11,2025-07-12,48.02,Store
679,28,2025-09-01,137.6,Store
680,19,2025-10-31,53.24,Online
681,11,2025-03-24,4.05,Online
682,6,2025-04-21,229.42,Online
683,29,2025-12-09,43.53,
684,53,2025-06-10,98.52,Online
685,11,2025-03-30,119.73,Online
686,23,2025-12-26,143.66,Online
687,13,2025-06-13,104.94,Online
688,45,2025-12-26,127.17,Store
689,23,2025-12-02,84.66,Online
690,54,2025-11-27,26.86,Partner
691,14,2025-08-01,102.05,Partner
692,5,2025-10-19,157.18,Store
693,33,2025-12-17,45.88,Partner
694,36,2025-04-09,120.59,Store
695,55,2025-01-14,318.38,Online
696,48,2025-04-28,97.24,Store
697,49,2025-08-21,100.92,Online
698,35,2025-07-19,24.71,Store
699,20,2025-01-30,41.27,Online
700,24,2025-07-24,53.73,Online
701,8,2025-03-05,153.08,Online
702,24,2025-07-04,48.62,Partner
703,21,2025-07-30,16.77,Online
704,2,2025-08-21,135.66,Online
705,12,2025-05-31,57.87,Online
706,30,2025-05-30,25.7,Online
707,21,2025-09-05,165.76,Store
708,55,2025-10-01,77.5,Store
709,27,2025-10-22,144.39,Online
710,53,2025-05-02,24.81,Online
711,37,2025-06-04,10.28,Online
712,3,2025-05-01,112.7,Online
713,12,2025-07-12,39.97,Store
714,39,2025-02-16,111.56,Store
715,30,2025-06-06,113.28,Online
716,17,2025-03-10,103.27,Store
717,29,2025-07-14,205.21,Online
718,50,2025-11-07,492.62,Store
719,22,2025-12-26,134.03,Online
720,3,2025-06-12,318.18,Store
721,18,2025-01-21,79.12,Online
722,52,2025-03-25,33.42,Partner
723,42,2025-02-08,61.09,Online
724,47,2025-10-05,82.76,Online
725,51,2025-12-26,335.27,Online
726,7,2025-07-22,107.55,Online
727,16,2025-03-06,210.22,Online
728,4,2025-01-08,74.15,Store
729,1,2025-12-23,67.3,Store
730,46,2025-04-26,23.79,Online
731,52,2025-02-10,328.47,Store
732,9,2025-03-06,256.35,Store
733,40,2025-04-04,121.47,Online
734,30,2025-08-28,86.48,Online
735,4,2025-11-22,110.51,Online
736,51,2025-04-11,32.16,Online
737,48,2025-09-08,144.2,Store
738,32,2025-01-24,242.85,Partner
739,39,2025-01-04,250.75,Store
740,22,2025-01-21,24.82,Online
741,44,2025-12-03,208.95,Store
742,25,2025-08-01,32.37,Store
743,55,2025-10-21,11.25,Online
744,4,2025-01-08,214.12,Store
745,10,2025-01-09,69.55,Online
746,54,2025-11-06,194.71,Online
747,16,2025-02-07,183.38,Online
748,18,2025-02-26,168.18,Online
749,44,2025-07-09,109.54,Store
750,11,2025-08-10,35.85,Online
751,29,2025-03-25,82.9,Online
752,16,2025-06-12,253.45,Online
753,11,2025-09-04,198.04,Online
754,54,2025-06-11,86.24,Online
755,11,2025-05-20,85.43,Online
756,6,2025-01-27,158.24,Store
757,38,2025-06-14,115.29,Online
758,48,2025-10-21,89.64,Store
759,8,2025-08-17,149.39,Online
760,39,2025-11-22,146.02,Store
761,30,2025-02-16,62.47,Store
762,46,2025-01-05,131.88,Online
763,7,2025-07-20,140.0,Online
764,54,2025-03-07,103.61,Partner
765,35,2025-08-05,57.13,Online
766,47,2025-11-26,80.94,Store
767,20,2025-05-04,47.87,Online
768,52,2025-07-20,134.37,Online
769,35,2025-09-06,24.97,Online
770,7,2025-02-24,270.34,Store
771,51,2025-11-24,235.53,Online
772,44,2025-03-16,142.31,Store
