order_id,customer_id,product_id,order_date,quantity,status,order_value
1103,13,1,2025-11-03,4,Completed,955.08
1104,50,5,2025-03-21,6,Completed,629.1
1105,7,14,2025-12-13,2,Completed,439.18
1106,29,16,2025-08-03,1,Completed,257.12
1107,26,12,2025-08-08,1,Pending,331.93
1108,18,20,2025-04-26,3,Cancelled,906.21
1109,2,22,2025-12-02,7,Completed,
1110,43,4,2025-01-14,1,Completed,298.03
1111,19,22,2025-04-20,3,Completed,
1112,37,15,2025-06-02,1,Pending,39.97
1113,23,15,2025-06-24,7,Completed,279.79
1114,21,3,2025-06-23,5,Completed,834.3
1115,49,15,2025-02-23,6,Completed,239.82
1116,6,17,2025-03-24,5,Pending,891.65
1117,41,14,2025-02-04,5,Completed,1097.95
1118,42,2,2025-07-28,6,Completed,702.78
1119,21,13,2025-05-09,1,Completed,60.53
1120,15,22,2025-07-26,7,Cancelled,
1121,1,17,2025-08-04,6,Completed,1069.98
1122,52,4,2025-09-14,6,Completed,1788.18
1123,53,23,2025-07-19,3,Pending,
1124,14,23,2025-08-25,6,Pending,
1125,2,4,2025-08-03,3,Completed,894.09
1126,7,19,2025-08-27,1,Completed,69.63
1127,4,10,2025-08-14,7,Completed,2247.77
1128,46,14,2025-04-26,2,Pending,439.18
1129,50,11,2025-03-31,1,Completed,300.37
1130,9,19,2025-10-15,5,Completed,348.15
1131,42,23,2025-05-06,2,Completed,
1132,10,19,2025-07-20,7,Completed,487.41
1133,21,22,2025-03-13,4,Pending,
1134,33,22,2025-06-07,1,Completed,
1135,40,3,2025-07-13,7,Completed,1168.02
1136,49,6,2025-08-17,4,Pending,1724.68
1137,3,17,2025-07-12,2,Pending,356.66
1138,11,14,2025-05-12,5,Pending,1097.95
1139,16,2,2025-12-18,4,Completed,468.52
1140,18,3,2025-07-07,1,Completed,166.86
1141,55,12,2025-10-23,6,Completed,1991.58
1142,43,15,2025-09-26,3,Completed,119.91
1143,18,4,2025-07-23,5,Cancelled,1490.15
1144,54,4,2025-11-20,7,Completed,2086.21
1145,28,3,2025-02-16,5,Completed,834.3
1146,28,13,2025-12-03,5,Pending,302.65
1147,24,1,2025-11-07,2,Completed,477.54
1148,8,14,2025-07-03,2,Completed,439.18
1149,52,11,2025-09-25,3,Completed,901.11
1150,1,11,2025-07-09,6,Completed,1802.22
1151,10,16,2025-04-09,4,Completed,1028.48
1152,13,13,2025-10-19,3,Completed,181.59
1153,16,17,2025-03-31,6,Cancelled,1069.98
1154,8,18,2025-04-25,6,Completed,536.22
1155,1,22,2025-07-09,7,Completed,
1156,38,19,2025-11-02,3,Completed,208.89
1157,54,12,2025-05-21,5,Completed,1659.65
1158,7,12,2025-06-30,5,Completed,1659.65
1159,17,6,2025-01-16,4,Completed,1724.68
1160,28,14,2025-02-12,3,Completed,658.77
1161,52,4,2025-01-21,1,Completed,298.03
1162,39,22,2025-01-27,2,Cancelled,
1163,43,20,2025-11-14,4,Completed,1208.28
1164,32,3,2025-11-04,7,Completed,1168.02
1165,23,19,2025-10-27,7,Pending,487.41
1166,11,3,2025-01-21,2,Pending,333.72
1167,48,17,2025-01-29,5,Completed,891.65
1168,45,3,2025-04-13,1,Completed,166.86
1169,2,12,2025-07-26,5,Completed,1659.65
1170,40,16,2025-05-02,3,Completed,771.36
1171,5,17,2025-06-27,4,Completed,713.32
1172,41,10,2025-03-05,6,Completed,1926.66
1173,46,22,2025-09-24,3,Completed,
1174,8,18,2025-04-25,6,Completed,536.22
1175,24,5,2025-01-25,4,Cancelled,419.4
1176,7,16,2025-09-29,7,Completed,1799.84
1177,32,17,2025-11-26,5,Completed,891.65
1178,52,8,2025-01-06,3,Completed,1096.02
1179,5,17,2025-06-09,6,Completed,1069.98
1180,22,21,2025-10-29,3,Completed,
1181,54,19,2025-09-15,4,Pending,278.52
1182,17,18,2025-11-09,1,Pending,89.37
1183,8,15,2025-06-01,1,Pending,39.97
1184,27,7,2025-05-16,5,Cancelled,1920.45
1185,28,19,2025-09-16,2,Cancelled,139.26
1186,37,9,2025-02-26,7,Cancelled,1591.8
1187,18,13,2025-03-29,6,Completed,363.18
1188,53,8,2025-08-08,5,Completed,1826.7
1189,29,8,2025-09-01,6,Completed,2192.04
1190,16,4,2025-02-13,5,Completed,1490.15
1191,53,23,2025-07-05,1,Completed,
1192,51,4,2025-05-14,3,Pending,894.09
1193,28,2,2025-07-03,4,Completed,468.52
1194,2,22,2025-12-16,7,Completed,
1195,33,13,2025-01-28,2,Completed,121.06
1196,31,11,2025-12-30,4,Completed,1201.48
1197,9,17,2025-06-14,3,Completed,534.99
1198,35,9,2025-10-09,1,Pending,227.4
1199,47,3,2025-06-04,1,Completed,166.86
1200,6,17,2025-04-24,3,Completed,534.99
1201,40,5,2025-10-09,1,Completed,104.85
1202,8,13,2025-09-08,1,Completed,60.53
1203,42,22,2025-02-22,3,Completed,
1204,24,22,2025-09-15,2,Pending,
1205,1,9,2025-10-02,4,Pending,909.6
1206,54,18,2025-05-22,1,Completed,89.37
1207,10,15,2025-12-04,3,Cancelled,119.91
1208,33,12,2025-08-22,4,Completed,1327.72
1209,10,4,2025-05-02,7,Pending,2086.21
1210,52,9,2025-01-04,5,Completed,1137.0
1211,41,15,2025-09-04,7,Completed,279.79
1212,45,23,2025-03-18,3,Pending,
1213,24,1,2025-10-04,4,Completed,955.08
1214,26,17,2025-07-11,3,Completed,534.99
1215,35,20,2025-06-20,7,Completed,2114.49
1216,44,22,2025-03-01,7,Completed,
1217,47,10,2025-09-17,7,Completed,2247.77
1218,1,3,2025-03-02,6,Pending,1001.16
1219,37,7,2025-06-02,4,Pending,1536.36
1220,7,20,2025-11-02,4,Completed,1208.28
1221,16,21,2025-12-02,7,Completed,
1222,46,15,2025-12-28,2,Completed,79.94
1223,14,3,2025-12-16,3,Completed,500.58
1224,44,3,2025-07-22,7,Completed,1168.02
1225,26,11,2025-03-15,3,Cancelled,901.11
1226,13,14,2025-11-03,2,Pending,439.18
1227,19,1,2025-10-20,4,Pending,955.08
1228,30,16,2025-12-28,3,Completed,771.36
1229,43,13,2025-08-26,7,Completed,423.71
1230,34,1,2025-02-21,7,Completed,1671.39
1231,52,3,2025-07-03,3,Completed,500.58
1232,48,11,2025-06-13,4,Completed,1201.48
1233,42,17,2025-11-04,7,Completed,1248.31
1234,34,19,2025-05-24,6,Completed,417.78
1235,16,10,2025-04-30,2,Cancelled,642.22
1236,23,7,2025-01-30,5,Completed,1920.45
1237,7,23,2025-11-01,5,Cancelled,
1238,21,11,2025-10-03,5,Completed,1501.85
1239,51,8,2025-01-16,1,Completed,365.34
1240,24,11,2025-06-08,3,Completed,901.11
1241,7,1,2025-06-25,6,Completed,1432.62
1242,36,7,2025-06-21,2,Completed,768.18
1243,53,12,2025-12-02,3,Completed,995.79
1244,48,22,2025-02-24,3,Pending,
1245,16,17,2025-04-22,2,Completed,356.66
1246,25,18,2025-03-08,2,Completed,178.74
1247,30,13,2025-03-31,3,Completed,181.59
1248,14,3,2025-11-28,7,Completed,1168.02
1249,15,9,2025-12-10,1,Completed,227.4
1250,14,23,2025-01-17,2,Completed,
1251,55,2,2025-08-19,1,Cancelled,117.13
1252,42,21,2025-03-26,4,Pending,
1253,47,16,2025-03-12,2,Completed,514.24
1254,45,7,2025-04-17,6,Completed,2304.54
1255,53,18,2025-03-12,5,Completed,446.85
1256,6,20,2025-06-28,6,Pending,1812.42
1257,49,1,2025-12-30,5,Completed,1193.85
1258,4,3,2025-08-03,4,Completed,667.44
1259,27,16,2025-09-21,7,Completed,1799.84
1260,33,23,2025-06-30,4,Pending,
1261,20,1,2025-01-06,7,Completed,1671.39
1262,9,16,2025-01-31,7,Pending,1799.84
1263,11,4,2025-04-09,5,Pending,1490.15
1264,46,15,2025-03-30,5,Completed,199.85
1265,18,15,2025-11-03,2,Pending,79.94
1266,18,3,2025-11-04,6,Completed,1001.16
1267,51,16,2025-11-08,5,Completed,1285.6
1268,8,21,2025-08-21,7,Completed,
1269,51,20,2025-07-23,2,Cancelled,604.14
1270,51,1,2025-08-25,6,Completed,1432.62
1271,33,6,2025-05-29,4,Completed,1724.68
1272,10,6,2025-09-02,2,Completed,862.34
1273,9,11,2025-10-17,2,Completed,600.74
1274,16,4,2025-10-06,4,Completed,1192.12
1275,32,20,2025-08-13,3,Completed,906.21
1276,9,18,2025-01-22,1,Completed,89.37
1277,26,19,2025-09-22,3,Pending,208.89
1278,7,5,2025-05-14,5,Completed,524.25
1279,30,1,2025-09-29,3,Completed,716.31
1280,2,21,2025-07-16,7,Completed,
1281,39,7,2025-11-18,6,Completed,2304.54
1282,4,16,2025-05-04,4,Completed,1028.48
1283,11,21,2025-12-06,7,Completed,
1284,10,1,2025-11-05,4,Cancelled,955.08
1285,46,1,2025-05-01,1,Completed,238.77
1286,3,1,2025-06-26,1,Completed,238.77
1287,24,4,2025-07-13,7,Completed,2086.21
1288,33,2,2025-10-08,7,Pending,819.91
1289,29,19,2025-09-09,6,Completed,417.78
1290,38,14,2025-11-07,1,Completed,219.59
1291,45,23,2025-05-16,3,Pending,
1292,22,19,2025-07-04,1,Completed,69.63
1293,46,23,2025-06-07,1,Cancelled,
1294,18,6,2025-11-28,2,Completed,862.34
1295,55,7,2025-04-22,5,Completed,1920.45
1296,28,20,2025-08-03,1,Completed,302.07
1297,41,6,2025-02-13,7,Cancelled,3018.19
1298,49,2,2025-11-07,4,Completed,468.52
1299,44,16,2025-05-21,2,Completed,514.24
1300,47,19,2025-05-05,4,Completed,278.52
