emp_no,dept_no,from_date,to_date
10100,d003,2009-08-13,9999-01-01
10101,d001,2003-03-09,9999-01-01
10102,d003,2014-03-30,9999-01-01
10103,d001,2010-12-02,9999-01-01
10104,d009,1998-01-18,2008-05-12
10105,d004,1993-10-08,9999-01-01
10106,d002,1990-12-11,1992-09-21
10107,d008,2010-04-17,9999-01-01
10108,d009,2010-05-04,9999-01-01
10109,d004,1998-06-30,9999-01-01
10110,d007,1994-01-04,9999-01-01
10111,d001,2000-01-30,9999-01-01
10112,d008,2005-02-23,9999-01-01
10113,d002,2013-08-06,9999-01-01
10114,d006,2010-11-18,9999-01-01
10115,d005,1990-09-23,9999-01-01
10116,d005,2001-12-16,9999-01-01
10117,d007,1994-07-01,2002-08-22
10118,d002,1990-03-21,9999-01-01
10119,d007,1990-01-14,9999-01-01
10120,d007,2004-11-04,9999-01-01
10121,d007,2006-02-10,2011-06-15
10122,d004,2006-02-01,2008-01-23
10123,d004,2011-03-05,9999-01-01
10124,d009,1996-10-13,9999-01-01
10125,d006,2014-06-09,9999-01-01
10126,d005,2003-05-19,9999-01-01
10127,d008,2012-04-06,9999-01-01
10128,d002,2004-04-23,9999-01-01
10129,d004,1994-12-06,9999-01-01
10130,d007,2006-12-24,9999-01-01
10131,d004,2011-10-02,9999-01-01
10132,d007,2001-08-30,9999-01-01
10133,d007,2006-11-02,9999-01-01
10134,d003,2012-12-12,2017-06-21
10135,d004,1990-07-26,1996-10-10
10136,d007,2006-03-27,2022-08-13
10137,d004,2002-09-12,9999-01-01
10138,d001,2008-04-18,9999-01-01
10139,d007,2010-10-29,9999-01-01
10140,d002,1992-08-14,2024-02-29
10141,d005,1999-09-05,9999-01-01
10142,d005,1996-05-20,9999-01-01
10143,d005,2003-08-11,9999-01-01
10144,d009,1993-01-07,9999-01-01
10145,d007,2004-09-25,9999-01-01
10146,d005,2014-01-15,9999-01-01
10147,d005,1995-07-15,2000-12-20
10148,d005,2001-02-15,9999-01-01
10149,d005,2006-08-13,9999-01-01
10150,d007,2010-09-02,9999-01-01
10151,d008,2004-03-29,9999-01-01
10152,d004,2011-02-27,9999-01-01
10153,d009,1991-08-06,9999-01-01
10154,d005,1992-01-24,9999-01-01
10155,d005,2002-05-23,9999-01-01
10156,d007,2012-07-14,9999-01-01
10157,d005,1993-08-07,9999-01-01
10158,d007,1997-09-06,9999-01-01
10159,d003,2004-11-10,9999-01-01
10160,d009,2005-03-24,9999-01-01
10161,d003,2000-02-24,9999-01-01
10162,d009,2011-07-28,2013-09-22
10163,d005,2006-04-10,9999-01-01
10164,d005,2002-06-19,9999-01-01
10165,d007,1992-12-18,2022-08-08
10166,d005,2000-06-14,9999-01-01
10167,d002,1998-03-12,9999-01-01
10168,d005,2008-09-04,9999-01-01
10169,d007,2011-05-21,2020-10-17
10170,d004,2007-08-26,9999-01-01
10171,d005,2000-10-05,9999-01-01
10172,d001,2001-04-26,9999-01-01
10173,d003,2007-05-12,9999-01-01
10174,d007,1993-06-25,2010-10-01
10175,d007,2008-01-04,9999-01-01
10176,d009,2004-07-29,9999-01-01
10177,d006,2008-06-17,9999-01-01
10178,d005,2001-06-26,9999-01-01
10179,d005,2014-11-12,2019-12-27
10180,d005,1992-05-24,2008-11-11
10181,d001,2007-04-29,9999-01-01
10182,d001,2014-08-22,9999-01-01
10183,d006,2000-11-21,2008-09-27
10184,d001,1995-05-08,9999-01-01
10185,d005,1995-08-09,9999-01-01
10186,d005,1998-10-09,9999-01-01
10187,d004,2003-11-20,9999-01-01
10188,d005,2003-05-30,2015-11-13
10189,d005,1996-12-29,2005-07-01
10190,d005,2007-01-02,9999-01-01
10191,d005,2001-06-14,9999-01-01
10192,d008,2006-11-19,2024-09-15
10193,d005,2013-11-26,9999-01-01
10194,d005,2006-03-02,2011-07-03
10195,d004,2007-01-20,9999-01-01
10196,d002,2002-09-19,2016-02-01
10197,d006,2010-01-28,9999-01-01
10198,d005,2007-12-01,2012-01-04
10199,d005,2013-08-28,9999-01-01
10200,d008,2014-02-10,2020-02-13
10201,d007,2011-03-16,2020-02-25
10202,d009,2012-09-28,2018-02-16
10203,d005,2001-06-13,2017-07-15
10204,d001,1990-05-09,9999-01-01
10205,d009,2009-10-06,9999-01-01
10206,d004,1998-08-16,2005-05-19
10207,d009,2006-05-04,2010-04-11
10208,d004,2003-09-04,2009-01-15
10209,d008,2012-01-23,2015-11-23
10210,d009,2013-03-15,9999-01-01
10211,d001,1991-06-01,9999-01-01
10212,d007,2002-03-22,9999-01-01
10213,d002,1998-01-31,9999-01-01
10214,d003,2005-07-20,9999-01-01
10215,d006,2001-06-28,9999-01-01
10216,d005,2009-08-28,2016-06-30
10217,d005,1999-06-07,9999-01-01
10218,d008,1999-08-25,9999-01-01
10219,d004,1990-03-08,9999-01-01
10220,d007,2004-06-26,2020-11-29
10221,d004,2013-02-07,9999-01-01
10222,d009,2014-10-25,9999-01-01
10223,d001,2004-09-11,9999-01-01
10224,d007,2010-02-21,9999-01-01
10225,d005,2013-06-01,9999-01-01
10226,d005,2004-04-15,9999-01-01
10227,d007,2003-08-23,2014-09-30
10228,d009,1995-10-26,2005-03-27
10229,d006,1996-11-29,9999-01-01
10230,d005,2014-04-23,9999-01-01
10231,d007,2012-02-08,2016-11-25
10232,d007,2006-01-01,9999-01-01
10233,d009,1992-11-01,9999-01-01
10234,d001,2009-02-23,9999-01-01
10235,d007,2013-01-10,9999-01-01
10236,d004,2007-07-02,9999-01-01
10237,d009,2007-10-18,2009-10-13
10238,d001,2010-07-11,9999-01-01
10239,d007,2010-11-18,9999-01-01
10240,d006,2004-10-25,9999-01-01
10241,d007,1996-12-19,9999-01-01
10242,d006,1992-01-24,2010-02-09
10243,d008,1991-03-02,9999-01-01
10244,d005,2000-01-30,2013-10-29
10245,d006,1993-10-16,9999-01-01
10246,d005,2001-03-27,9999-01-01
10247,d005,2004-09-18,9999-01-01
10248,d002,1991-04-09,9999-01-01
10249,d003,2007-08-19,9999-01-01
10250,d005,2014-09-08,9999-01-01
10251,d008,1991-07-07,2024-01-15
10252,d003,2008-05-14,9999-01-01
10253,d002,2008-10-07,9999-01-01
10254,d005,1995-10-27,9999-01-01
10255,d002,1999-12-11,2012-09-04
10256,d006,2003-05-27,2017-08-23
10257,d009,2006-05-07,9999-01-01
10258,d005,1990-08-17,9999-01-01
10259,d004,1998-10-08,9999-01-01
10260,d003,1999-04-01,9999-01-01
10261,d002,1998-04-02,9999-01-01
10262,d005,2003-09-23,9999-01-01
10263,d007,2013-10-09,9999-01-01
10264,d004,2012-06-15,9999-01-01
10265,d004,2013-01-15,9999-01-01
10266,d005,1997-07-03,2003-02-11
10267,d004,1998-11-28,9999-01-01
10268,d009,1996-09-04,9999-01-01
10269,d008,1993-01-21,9999-01-01
10270,d006,2010-12-15,9999-01-01
10271,d009,2006-12-13,9999-01-01
10272,d004,1991-08-24,9999-01-01
10273,d007,2004-11-07,9999-01-01
10274,d004,2002-02-25,9999-01-01
10275,d004,2010-09-13,2012-01-26
10276,d003,2000-08-25,9999-01-01
10277,d003,1999-12-16,9999-01-01
10278,d001,2001-05-03,9999-01-01
10279,d005,2014-05-09,2019-11-03
10280,d005,1999-09-04,2012-07-29
10281,d004,1991-07-30,9999-01-01
10282,d004,1991-03-31,9999-01-01
10283,d009,2007-11-14,9999-01-01
10284,d007,1994-09-09,2016-08-28
10285,d005,2010-08-02,9999-01-01
10286,d005,2013-09-28,9999-01-01
10287,d003,1996-05-12,9999-01-01
10288,d002,1992-04-08,9999-01-01
10289,d009,1997-10-26,9999-01-01
10290,d007,2008-01-05,9999-01-01
10291,d009,1994-10-29,9999-01-01
10292,d005,2004-04-19,9999-01-01
10293,d004,2006-04-11,2011-08-18
10294,d003,1997-03-22,9999-01-01
10295,d006,1994-03-21,9999-01-01
10296,d007,1990-02-13,9999-01-01
10297,d005,2000-03-12,9999-01-01
10298,d005,2000-01-05,9999-01-01
10299,d005,1996-04-12,9999-01-01
10300,d001,2009-05-12,9999-01-01
10301,d009,2009-04-23,2016-01-30
10302,d001,1992-04-23,9999-01-01
10303,d007,2005-04-24,9999-01-01
10304,d005,2008-11-13,9999-01-01
10305,d007,1999-10-30,2022-01-30
10306,d008,2013-08-06,9999-01-01
10307,d006,1999-02-08,2024-09-10
10308,d008,2000-09-22,2018-11-09
10309,d005,2003-08-22,2006-11-25
10310,d003,1991-07-21,9999-01-01
10311,d004,2004-04-17,9999-01-01
10312,d006,2003-08-23,9999-01-01
10313,d005,1998-11-10,9999-01-01
10314,d007,2011-07-05,9999-01-01
10315,d008,2009-07-05,9999-01-01
10316,d009,2007-03-12,9999-01-01
10317,d004,1999-12-18,9999-01-01
10318,d002,2012-06-19,9999-01-01
10319,d003,2006-11-07,9999-01-01
10320,d004,2000-02-07,9999-01-01
10321,d004,1996-01-06,2002-09-27
10322,d006,2006-03-10,9999-01-01
10323,d004,1994-08-02,9999-01-01
10324,d007,2012-09-18,9999-01-01
10325,d001,1994-04-14,9999-01-01
10326,d004,2001-03-21,9999-01-01
10327,d009,2006-04-29,9999-01-01
10328,d007,1999-11-25,2007-12-07
10329,d004,1992-02-28,9999-01-01
10330,d009,2010-10-11,2023-09-27
10331,d004,2011-07-02,2014-12-19
10332,d009,2000-06-29,2021-07-21
10333,d007,2003-09-01,9999-01-01
10334,d001,1992-08-16,2019-04-21
10335,d001,2013-05-29,9999-01-01
10336,d001,2013-02-14,2020-06-19
10337,d007,2007-04-30,9999-01-01
10338,d002,2002-11-28,9999-01-01
10339,d009,2009-02-11,9999-01-01
10340,d004,1993-08-01,9999-01-01
10341,d004,2008-07-21,2021-12-02
10342,d004,1996-10-22,9999-01-01
10343,d005,2012-12-22,2014-07-10
10344,d005,2001-05-30,2017-05-15
10345,d005,2013-03-06,2016-07-01
10346,d007,2007-10-07,9999-01-01
10347,d005,2013-11-23,9999-01-01
10348,d007,2010-06-24,9999-01-01
10349,d008,1993-10-08,9999-01-01
10350,d005,2008-02-19,9999-01-01
10351,d009,1990-03-02,9999-01-01
10352,d005,1993-12-17,9999-01-01
10353,d009,2005-08-03,9999-01-01
10354,d007,2004-03-30,2016-12-22
10355,d007,2006-04-14,9999-01-01
10356,d005,2014-03-16,2020-09-21
10357,d007,2002-05-01,9999-01-01
10358,d001,2007-12-09,9999-01-01
10359,d005,2009-03-05,2024-07-14
10360,d001,2003-04-22,9999-01-01
10361,d005,2007-07-11,9999-01-01
10362,d005,1997-08-31,9999-01-01
10363,d003,2001-10-20,2020-08-19
10364,d001,2011-01-20,2018-04-18
10365,d006,2012-03-27,9999-01-01
10366,d007,2008-12-06,9999-01-01
10367,d009,2014-02-27,9999-01-01
10368,d003,2000-10-06,2013-07-27
10369,d006,1990-03-16,9999-01-01
10370,d008,2011-06-03,9999-01-01
10371,d003,2013-03-17,9999-01-01
10372,d002,1994-01-09,9999-01-01
10373,d007,1999-05-10,9999-01-01
10374,d005,1996-04-20,2013-08-08
10375,d002,2009-11-07,9999-01-01
10376,d008,1998-08-11,9999-01-01
10377,d005,2010-04-17,9999-01-01
10378,d007,1998-12-08,9999-01-01
10379,d007,2011-08-09,9999-01-01
10380,d007,1998-10-04,9999-01-01
10381,d006,1993-04-25,9999-01-01
10382,d003,1999-03-29,9999-01-01
10383,d005,2014-09-29,2024-08-11
10384,d002,2003-08-02,2013-01-31
10385,d001,2000-04-24,2011-07-25
10386,d001,2007-09-03,9999-01-01
10387,d004,2006-05-20,2012-11-14
10388,d003,2011-06-25,9999-01-01
10389,d001,1994-11-21,9999-01-01
10390,d006,2007-09-25,9999-01-01
10391,d005,2000-11-23,9999-01-01
10392,d002,2014-11-30,9999-01-01
10393,d005,1995-11-05,2016-03-13
10394,d005,2005-06-30,2009-11-29
10395,d004,1993-06-21,9999-01-01
10396,d005,1996-05-07,9999-01-01
10397,d006,2011-05-05,9999-01-01
10398,d009,2012-05-19,9999-01-01
10399,d006,2014-04-02,9999-01-01
10400,d003,2009-01-21,9999-01-01
10401,d004,2001-12-24,9999-01-01
10402,d009,2008-05-10,9999-01-01
10403,d004,2002-03-06,9999-01-01
10404,d005,2001-10-14,2006-04-29
10405,d009,1992-08-18,9999-01-01
10406,d003,2004-10-05,9999-01-01
10407,d009,2013-03-29,2023-09-17
10408,d007,1994-07-16,2016-11-30
10409,d007,2004-11-13,9999-01-01
10410,d008,1993-02-08,9999-01-01
10411,d008,1994-11-19,2010-10-11
10412,d001,1992-12-29,9999-01-01
10413,d006,2009-11-04,2017-03-25
10414,d001,1998-06-05,9999-01-01
10415,d008,1990-10-13,9999-01-01
10416,d001,2009-11-02,9999-01-01
10417,d006,1996-12-08,9999-01-01
10418,d009,2006-02-18,2020-11-11
10419,d005,2013-01-05,9999-01-01
10420,d006,1995-06-21,2023-04-14
10421,d005,2000-03-26,9999-01-01
10422,d008,2009-11-01,9999-01-01
10423,d007,2006-08-18,9999-01-01
10424,d006,2007-03-17,9999-01-01
10425,d007,2000-12-08,2010-09-16
10426,d002,1993-04-11,2001-10-01
10427,d005,2013-03-12,9999-01-01
10428,d006,1996-06-26,9999-01-01
10429,d004,2011-05-05,9999-01-01
10430,d005,2010-02-01,9999-01-01
10431,d002,1994-06-03,9999-01-01
10432,d007,2010-12-25,2013-05-04
10433,d005,2008-09-28,9999-01-01
10434,d004,1996-08-27,9999-01-01
10435,d004,2005-10-14,9999-01-01
10436,d004,2011-03-15,9999-01-01
10437,d005,2010-05-07,9999-01-01
10438,d009,1996-01-31,2005-04-12
10439,d008,2012-12-15,9999-01-01
10440,d007,1998-05-07,9999-01-01
10441,d008,2003-12-07,9999-01-01
10442,d004,1997-09-14,9999-01-01
10443,d008,2014-12-05,9999-01-01
10444,d001,1993-01-09,9999-01-01
10445,d004,2003-07-24,2022-04-17
10446,d009,1992-07-03,2008-09-10
10447,d008,2010-12-20,9999-01-01
10448,d007,1991-10-21,9999-01-01
10449,d007,2009-02-10,9999-01-01
10450,d007,1990-10-20,9999-01-01
10451,d005,1998-10-01,2003-02-24
10452,d004,2013-08-18,9999-01-01
10453,d003,2002-12-01,9999-01-01
10454,d002,1995-07-04,9999-01-01
10455,d005,1995-03-23,9999-01-01
10456,d004,2012-12-21,2017-12-22
10457,d004,2013-06-01,9999-01-01
10458,d009,2007-01-10,9999-01-01
10459,d008,1992-04-02,9999-01-01
10460,d001,2008-03-25,2021-06-11
10461,d004,2014-06-20,9999-01-01
10462,d002,2002-12-13,2018-05-17
10463,d007,2013-03-04,9999-01-01
10464,d003,2007-10-12,9999-01-01
10465,d009,1995-10-10,1998-05-30
10466,d008,1999-04-24,9999-01-01
10467,d003,2011-01-12,9999-01-01
10468,d005,1998-06-02,9999-01-01
10469,d007,1996-01-13,9999-01-01
10470,d001,1998-03-01,9999-01-01
10471,d006,1993-04-12,2005-06-06
10472,d004,1994-02-27,1995-08-25
10473,d008,2005-02-09,2017-02-06
10474,d006,1994-04-03,9999-01-01
10475,d004,1996-12-07,9999-01-01
10476,d005,1999-11-12,2008-05-02
10477,d005,2013-06-26,9999-01-01
10478,d008,2009-05-30,9999-01-01
10479,d008,1995-11-20,9999-01-01
10480,d005,2013-08-18,9999-01-01
10481,d007,2002-08-30,9999-01-01
10482,d008,1994-06-23,9999-01-01
10483,d007,2006-06-24,9999-01-01
10484,d001,1998-03-25,9999-01-01
10485,d003,2007-07-07,9999-01-01
10486,d006,2008-10-20,9999-01-01
10487,d002,1995-08-02,9999-01-01
10488,d009,2001-09-27,9999-01-01
10489,d009,2001-12-21,2007-05-24
10490,d007,1992-04-04,9999-01-01
10491,d007,1994-01-01,9999-01-01
10492,d004,2011-09-23,9999-01-01
10493,d005,2007-03-23,9999-01-01
10494,d007,2011-04-20,9999-01-01
10495,d007,2004-12-13,9999-01-01
10496,d005,1995-05-24,9999-01-01
10497,d001,1995-11-23,9999-01-01
10498,d005,2005-07-02,9999-01-01
10499,d002,1994-04-22,9999-01-01
10500,d006,2006-06-20,2021-08-03
10501,d005,1997-11-27,9999-01-01
10502,d004,2013-04-12,9999-01-01
10503,d007,1998-01-26,2021-06-01
10504,d007,1998-06-13,2012-01-19
10505,d008,1998-11-22,9999-01-01
10506,d004,2001-07-31,2014-06-02
10507,d009,1991-09-24,2007-12-16
10508,d007,1990-05-26,9999-01-01
10509,d005,1990-08-04,9999-01-01
10510,d007,2009-02-13,2012-03-30
10511,d007,1999-08-15,9999-01-01
10512,d002,2010-09-26,9999-01-01
10513,d008,1992-02-05,9999-01-01
10514,d007,1990-04-25,9999-01-01
10515,d005,2002-03-29,2009-08-20
10516,d007,2014-11-07,9999-01-01
10517,d009,2002-05-06,9999-01-01
10518,d008,2014-01-08,9999-01-01
10519,d008,2008-03-28,9999-01-01
10520,d005,2014-01-14,9999-01-01
10521,d007,2007-07-30,9999-01-01
10522,d004,1994-10-30,9999-01-01
10523,d009,2009-06-13,9999-01-01
10524,d004,2004-06-17,2010-06-17
10525,d009,2005-11-19,9999-01-01
10526,d004,2014-07-09,9999-01-01
10527,d007,2009-07-08,9999-01-01
10528,d005,2004-11-10,9999-01-01
10529,d008,2006-09-22,9999-01-01
10530,d003,2002-10-27,9999-01-01
10531,d004,2013-04-29,2015-05-29
10532,d001,1993-04-21,9999-01-01
10533,d004,2000-08-15,9999-01-01
10534,d002,1991-05-13,2013-05-14
10535,d001,2005-11-18,9999-01-01
10536,d002,2008-07-13,2023-09-23
10537,d007,2011-05-11,9999-01-01
10538,d003,2004-06-13,9999-01-01
10539,d001,2004-04-10,9999-01-01
10540,d002,2008-11-22,2023-10-06
10541,d005,1996-02-06,9999-01-01
10542,d005,2010-09-03,9999-01-01
10543,d008,1998-05-06,9999-01-01
10544,d004,2000-01-03,9999-01-01
10545,d009,1995-01-17,9999-01-01
10546,d007,2010-01-26,2021-04-13
10547,d004,2007-06-30,9999-01-01
10548,d005,1994-05-17,9999-01-01
10549,d007,2013-08-21,9999-01-01
10550,d007,2001-07-29,9999-01-01
10551,d005,1991-03-31,9999-01-01
10552,d002,1995-05-18,9999-01-01
10553,d004,2007-01-28,9999-01-01
10554,d004,2003-03-02,9999-01-01
10555,d001,1999-12-25,9999-01-01
10556,d009,2007-01-30,9999-01-01
10557,d008,1994-03-20,9999-01-01
10558,d007,2006-11-05,9999-01-01
10559,d004,2005-12-27,9999-01-01
10560,d004,1999-09-24,2022-03-31
10561,d001,1995-11-13,9999-01-01
10562,d004,2007-02-05,9999-01-01
10563,d001,2001-02-12,9999-01-01
10564,d009,2009-03-07,9999-01-01
10565,d005,1994-05-29,9999-01-01
10566,d008,1997-04-20,9999-01-01
10567,d006,1990-05-01,1999-02-21
10568,d007,1992-03-07,9999-01-01
10569,d001,1997-05-04,9999-01-01
10570,d005,2004-11-08,9999-01-01
10571,d004,2001-09-16,2023-10-29
10572,d008,2007-05-25,9999-01-01
10573,d004,1997-08-03,9999-01-01
10574,d006,1999-03-19,9999-01-01
10575,d008,1996-01-24,9999-01-01
10576,d008,2003-10-15,9999-01-01
10577,d009,1999-04-08,9999-01-01
10578,d004,2004-09-30,9999-01-01
10579,d001,2000-08-05,9999-01-01
10580,d005,2014-12-12,9999-01-01
10581,d009,2011-10-19,2024-03-11
10582,d009,2014-02-24,9999-01-01
10583,d007,2013-08-08,2023-08-25
10584,d005,2009-10-12,9999-01-01
10585,d007,2003-11-23,2006-06-14
10586,d005,1992-08-20,2000-12-01
10587,d002,1997-05-02,2018-10-18
10588,d006,2012-09-22,9999-01-01
10589,d004,1990-09-13,9999-01-01
10590,d003,2007-04-22,9999-01-01
10591,d001,2001-10-05,9999-01-01
10592,d004,2003-02-15,2024-06-14
10593,d001,1997-09-02,9999-01-01
10594,d009,1996-11-13,9999-01-01
10595,d007,2008-08-29,9999-01-01
10596,d006,1994-05-11,9999-01-01
10597,d006,1997-12-02,9999-01-01
10598,d007,1995-10-13,9999-01-01
10599,d004,2013-03-22,2021-05-19
10600,d006,2000-03-16,2015-04-13
10601,d007,1991-11-04,9999-01-01
10602,d007,1996-01-06,9999-01-01
10603,d005,2010-07-13,9999-01-01
10604,d006,2000-12-18,9999-01-01
10605,d003,1996-03-07,9999-01-01
10606,d002,1999-10-18,9999-01-01
10607,d009,2013-12-25,9999-01-01
10608,d008,2012-09-24,9999-01-01
10609,d001,2010-06-01,2017-05-05
10610,d007,1990-03-06,9999-01-01
10611,d002,1995-11-11,9999-01-01
10612,d005,1994-05-17,2001-03-26
10613,d009,2009-01-28,2016-09-10
10614,d007,1992-12-19,9999-01-01
10615,d004,2006-05-31,9999-01-01
10616,d007,1993-09-16,9999-01-01
10617,d005,2013-07-25,9999-01-01
10618,d001,2011-12-22,9999-01-01
10619,d004,2008-10-09,9999-01-01
10620,d003,1997-06-12,9999-01-01
10621,d007,2008-02-09,9999-01-01
10622,d001,2006-09-04,9999-01-01
10623,d001,1997-02-24,9999-01-01
10624,d004,2011-05-20,9999-01-01
10625,d005,2003-05-31,9999-01-01
10626,d005,1998-08-18,9999-01-01
10627,d001,2006-05-07,9999-01-01
10628,d003,1991-10-09,9999-01-01
10629,d001,1996-06-21,9999-01-01
10630,d009,2011-11-03,9999-01-01
10631,d007,2009-07-19,9999-01-01
10632,d007,1996-08-17,9999-01-01
10633,d006,1997-09-01,9999-01-01
10634,d005,2008-10-06,9999-01-01
10635,d002,2012-11-19,2020-12-17
10636,d003,2009-05-29,9999-01-01
10637,d009,2004-08-25,9999-01-01
10638,d006,2011-05-26,2022-09-25
10639,d003,1996-04-19,9999-01-01
10640,d005,1995-06-19,2015-09-10
10641,d004,1993-09-02,9999-01-01
10642,d001,2010-04-17,9999-01-01
10643,d002,1994-07-17,9999-01-01
10644,d006,2000-12-23,9999-01-01
10645,d008,2010-09-29,9999-01-01
10646,d009,2005-06-13,9999-01-01
10647,d004,1991-05-06,9999-01-01
10648,d003,1998-01-02,9999-01-01
10649,d005,1993-01-30,9999-01-01
10650,d009,1996-12-03,2006-09-23
10651,d004,1993-01-01,9999-01-01
10652,d005,2005-09-06,2021-10-13
10653,d008,2009-04-17,2011-11-13
10654,d001,1990-01-11,1998-11-02
10655,d007,2002-03-22,9999-01-01
10656,d009,1994-02-08,9999-01-01
10657,d007,1991-09-09,2010-12-17
10658,d005,1999-08-01,2002-04-19
10659,d005,2004-05-20,9999-01-01
10660,d004,2004-09-04,9999-01-01
10661,d006,1996-01-06,2021-01-18
10662,d004,1991-09-29,9999-01-01
10663,d008,1991-03-02,9999-01-01
10664,d001,1990-01-10,9999-01-01
10665,d006,1991-11-10,9999-01-01
10666,d004,2009-03-26,9999-01-01
10667,d009,1996-02-04,2008-12-23
10668,d009,2004-11-22,9999-01-01
10669,d005,2002-12-05,9999-01-01
10670,d003,1992-03-29,1998-12-18
10671,d002,2013-06-29,9999-01-01
10672,d001,2007-01-18,9999-01-01
10673,d009,1990-04-07,9999-01-01
10674,d007,1992-03-31,9999-01-01
10675,d005,2011-01-27,9999-01-01
10676,d004,2010-06-19,9999-01-01
10677,d005,2008-11-14,9999-01-01
10678,d009,2007-03-04,9999-01-01
10679,d002,2010-04-05,9999-01-01
10680,d006,2006-09-30,9999-01-01
10681,d008,2003-06-11,9999-01-01
10682,d007,2002-11-23,9999-01-01
10683,d005,1997-07-10,9999-01-01
10684,d009,2002-02-10,2006-07-15
10685,d008,1993-06-20,9999-01-01
10686,d005,1992-01-03,9999-01-01
10687,d004,2006-10-17,9999-01-01
10688,d005,2004-01-11,9999-01-01
10689,d008,1999-03-20,9999-01-01
10690,d009,2001-06-02,9999-01-01
10691,d001,1997-10-04,9999-01-01
10692,d009,1995-03-16,2014-10-08
10693,d005,2010-12-06,2015-09-05
10694,d001,1999-01-03,9999-01-01
10695,d005,1992-06-01,9999-01-01
10696,d007,1998-07-31,9999-01-01
10697,d006,1999-02-14,9999-01-01
10698,d009,1998-11-08,9999-01-01
