emp_no,salary,from_date,to_date
10010,60292,2009-09-23,2010-09-22
10010,61743,2010-09-23,2011-09-22
10010,64937,2011-09-23,2012-09-22
10010,66085,2012-09-23,2013-09-22
10010,67495,2013-09-23,2014-09-22
10010,69860,2014-09-23,2015-09-22
10010,73220,2015-09-23,2016-09-22
10010,76359,2016-09-23,2017-09-22
10010,77685,2017-09-23,2018-09-22
10010,79469,2018-09-23,2019-09-22
10010,82905,2019-09-23,9999-01-01
10011,66499,2001-08-24,2002-08-23
10011,69527,2002-08-24,2003-08-23
10011,71199,2003-08-24,2004-08-23
10011,75443,2004-08-24,2005-08-23
10011,78597,2005-08-24,2006-08-23
10011,81264,2006-08-24,2007-08-23
10011,85153,2007-08-24,2008-08-23
10011,87695,2008-08-24,2009-08-23
10011,91892,2009-08-24,2010-08-23
10011,94430,2010-08-24,2011-08-23
10011,96987,2011-08-24,2012-08-23
10011,100053,2012-08-24,9999-01-01
10012,67598,1999-02-04,2000-02-03
10012,69453,2000-02-04,2001-02-03
10012,73001,2001-02-04,2002-02-03
10012,77166,2002-02-04,2003-02-03
10012,79276,2003-02-04,2004-02-03
10012,82060,2004-02-04,2005-02-03
10012,86424,2005-02-04,2006-02-03
10012,89547,2006-02-04,2007-02-03
10012,92383,2007-02-04,2008-02-03
10012,95719,2008-02-04,2009-02-03
10012,99158,2009-02-04,2010-02-03
10012,101876,2010-02-04,9999-01-01
10013,54860,2006-02-06,2007-02-05
10013,56935,2007-02-06,2008-02-05
10013,58646,2008-02-06,2009-02-05
10013,60578,2009-02-06,2010-02-05
10013,64011,2010-02-06,2011-02-05
10013,66687,2011-02-06,2011-03-09
10014,41998,1992-05-16,1993-05-15
10014,44463,1993-05-16,1994-05-15
10014,45927,1994-05-16,1995-05-15
10014,47852,1995-05-16,1996-05-15
10014,49612,1996-05-16,1997-05-15
10014,50383,1997-05-16,1998-05-15
10014,52847,1998-05-16,1999-05-15
10014,55888,1999-05-16,2000-05-15
10014,57497,2000-05-16,2001-05-15
10014,59511,2001-05-16,2002-05-15
10014,63011,2002-05-16,2003-05-15
10014,66417,2003-05-16,9999-01-01
10015,54080,1997-01-20,1998-01-19
10015,55327,1998-01-20,1999-01-19
10015,58114,1999-01-20,2000-01-19
10015,59214,2000-01-20,2001-01-19
10015,61918,2001-01-20,2002-01-19
10015,64641,2002-01-20,2003-01-19
10015,66835,2003-01-20,2004-01-19
10015,68891,2004-01-20,2005-01-19
10015,71060,2005-01-20,2006-01-19
10015,74773,2006-01-20,2007-01-19
10015,75930,2007-01-20,2008-01-19
10015,79979,2008-01-20,9999-01-01
10016,41647,1994-09-13,1995-09-12
10016,43902,1995-09-13,1996-09-12
10016,46131,1996-09-13,1997-09-12
10016,47646,1997-09-13,1998-09-12
10016,50139,1998-09-13,1999-09-12
10016,51322,1999-09-13,2000-09-12
10016,53023,2000-09-13,2001-09-12
10016,55043,2001-09-13,2002-09-12
10016,56606,2002-09-13,2003-09-12
10016,58428,2003-09-13,2004-09-12
10016,60560,2004-09-13,2005-09-12
10016,63067,2005-09-13,9999-01-01
10017,61834,2008-02-08,2009-02-07
10017,62951,2009-02-08,2010-02-07
10017,65837,2010-02-08,2011-02-07
10017,69707,2011-02-08,2012-02-07
10017,72795,2012-02-08,2013-02-07
10017,77158,2013-02-08,2014-02-07
10017,80554,2014-02-08,2015-02-07
10017,82860,2015-02-08,2016-02-07
10017,85324,2016-02-08,2017-02-07
10017,88268,2017-02-08,2018-02-07
10017,93081,2018-02-08,2019-02-07
10017,95737,2019-02-08,9999-01-01
10018,65398,2011-10-30,2012-10-29
10018,69150,2012-10-30,2013-10-29
10018,73126,2013-10-30,2014-10-29
10018,75098,2014-10-30,2015-10-29
10018,79432,2015-10-30,2016-10-29
10018,81513,2016-10-30,2017-10-29
10018,84634,2017-10-30,2018-10-29
10018,87005,2018-10-30,2019-10-29
10018,88547,2019-10-30,2020-10-29
10018,91417,2020-10-30,2021-10-29
10018,93557,2021-10-30,2022-10-29
10018,96792,2022-10-30,9999-01-01
10019,65706,1997-07-02,1998-07-01
10019,67194,1998-07-02,1999-07-01
10019,70919,1999-07-02,2000-07-01
10019,73360,2000-07-02,2001-07-01
10019,77670,2001-07-02,2002-07-01
10019,81692,2002-07-02,2003-07-01
10019,85192,2003-07-02,2004-07-01
10019,87943,2004-07-02,2005-07-01
10019,90978,2005-07-02,2006-07-01
10019,94233,2006-07-02,2007-07-01
10019,98614,2007-07-02,2008-07-01
10019,101423,2008-07-02,9999-01-01
10020,61103,1992-05-20,1993-05-19
10020,62566,1993-05-20,1994-05-19
10020,66314,1994-05-20,1995-05-19
10020,68700,1995-05-20,1996-05-19
10020,72736,1996-05-20,1997-05-19
10020,74729,1997-05-20,1998-05-19
10020,78704,1998-05-20,1999-05-19
10020,81863,1999-05-20,2000-05-19
10020,86131,2000-05-20,2001-05-19
10020,88543,2001-05-20,2002-05-19
10020,90671,2002-05-20,2003-05-19
10020,95577,2003-05-20,9999-01-01
10021,67486,2005-12-09,2006-12-08
10021,70770,2006-12-09,2007-12-08
10021,72324,2007-12-09,2008-12-08
10021,75130,2008-12-09,2009-12-08
10021,76911,2009-12-09,2010-12-08
10021,79098,2010-12-09,2011-12-08
10021,83415,2011-12-09,2012-12-08
10021,87783,2012-12-09,2013-12-08
10021,89993,2013-12-09,2014-12-08
10021,94443,2014-12-09,2015-12-08
10021,97966,2015-12-09,2016-12-08
10021,100604,2016-12-09,9999-01-01
10022,60719,2010-05-05,2011-05-04
10022,63833,2011-05-05,2012-05-04
10022,66742,2012-05-05,2013-05-04
10022,70373,2013-05-05,2014-05-04
10022,71518,2014-05-05,2015-05-04
10022,73916,2015-05-05,2016-05-04
10022,77697,2016-05-05,2017-05-04
10022,78886,2017-05-05,2018-05-04
10022,80631,2018-05-05,2019-05-04
10022,84196,2019-05-05,2020-05-04
10022,85669,2020-05-05,2021-05-04
10022,87261,2021-05-05,9999-01-01
10023,64340,2006-12-30,2007-12-29
10023,68048,2007-12-30,2008-12-29
10023,71302,2008-12-30,2009-12-29
10023,74384,2009-12-30,2010-12-29
10023,76974,2010-12-30,2011-12-29
10023,81115,2011-12-30,2012-12-29
10023,85180,2012-12-30,2013-12-29
10023,86897,2013-12-30,2014-12-29
10023,91330,2014-12-30,2015-12-29
10023,95772,2015-12-30,2016-12-29
10023,101078,2016-12-30,2017-12-29
10023,103593,2017-12-30,9999-01-01
10024,63433,1990-01-07,1991-01-06
10024,66955,1991-01-07,1992-01-06
10024,68877,1992-01-07,1993-01-06
10024,71692,1993-01-07,1994-01-06
10024,73525,1994-01-07,1995-01-06
10024,77199,1995-01-07,1996-01-06
10024,81264,1996-01-07,1997-01-06
10024,84518,1997-01-07,1998-01-06
10024,87011,1998-01-07,1999-01-06
10024,92220,1999-01-07,2000-01-06
10024,94355,2000-01-07,2001-01-06
10024,98447,2001-01-07,9999-01-01
10025,70242,2005-07-12,2006-07-11
10025,71854,2006-07-12,2007-07-11
10025,74164,2007-07-12,2008-07-11
10025,78378,2008-07-12,2009-07-11
10025,79555,2009-07-12,2010-07-11
10025,81998,2010-07-12,2011-07-11
10025,83987,2011-07-12,2012-07-11
10025,85942,2012-07-12,2013-07-11
10025,88944,2013-07-12,2014-07-11
10025,91884,2014-07-12,2015-07-11
10025,96866,2015-07-12,2016-07-11
10025,101547,2016-07-12,9999-01-01
10026,74850,1992-09-21,1993-09-20
10026,76652,1993-09-21,1994-09-20
10026,80317,1994-09-21,1995-09-20
10026,83684,1995-09-21,1996-09-20
10026,87668,1996-09-21,1997-09-20
10026,91720,1997-09-21,1998-09-20
10026,93283,1998-09-21,1999-09-20
10026,95221,1999-09-21,2000-09-20
10026,100540,2000-09-21,2001-09-20
10026,106476,2001-09-21,2002-09-20
10026,109995,2002-09-21,2003-09-20
10026,116026,2003-09-21,9999-01-01
10027,82355,2010-11-06,2011-11-05
10027,83867,2011-11-06,2012-11-05
10027,86745,2012-11-06,2013-11-05
10027,91858,2013-11-06,2014-11-05
10027,96163,2014-11-06,2015-11-05
10027,98399,2015-11-06,2016-11-05
10027,103773,2016-11-06,2017-11-05
10027,109313,2017-11-06,2018-11-05
10027,112698,2018-11-06,2019-11-05
10027,117969,2019-11-06,2020-11-05
10027,122059,2020-11-06,2021-11-05
10027,126140,2021-11-06,9999-01-01
10028,62266,2010-08-03,2011-08-02
10028,64894,2011-08-03,2012-08-02
10028,66643,2012-08-03,2013-08-02
10028,69544,2013-08-03,2014-08-02
10028,72097,2014-08-03,2015-08-02
10028,75535,2015-08-03,2016-08-02
10028,78963,2016-08-03,2017-08-02
10028,80618,2017-08-03,2018-08-02
10028,84070,2018-08-03,2019-08-02
10028,86425,2019-08-03,2020-08-02
10028,90772,2020-08-03,2021-08-02
10028,92827,2021-08-03,2022-06-30
10029,88694,1996-05-27,1997-05-26
10029,90149,1997-05-27,1998-01-20
10030,49798,2002-04-04,2003-04-03
10030,51708,2003-04-04,2004-04-03
10030,54034,2004-04-04,2005-04-03
10030,56617,2005-04-04,2006-04-03
10030,57789,2006-04-04,2007-04-03
10030,59975,2007-04-04,2008-04-03
10030,62776,2008-04-04,2009-04-03
10030,64921,2009-04-04,2010-04-03
10030,68619,2010-04-04,2011-04-03
10030,72021,2011-04-04,2012-04-03
10030,75825,2012-04-04,2013-04-03
10030,78020,2013-04-04,9999-01-01
10031,42913,2011-06-16,2012-06-15
10031,45152,2012-06-16,2013-06-15
10031,47303,2013-06-16,2014-06-15
10031,48259,2014-06-16,2015-06-15
10031,49878,2015-06-16,2016-06-15
10031,51762,2016-06-16,2017-06-15
10031,53557,2017-06-16,2018-06-15
10031,54754,2018-06-16,2019-06-15
10031,55803,2019-06-16,2020-06-15
10031,58467,2020-06-16,2021-06-15
10031,61938,2021-06-16,2022-06-15
10031,63311,2022-06-16,9999-01-01
10032,53778,1996-04-01,1997-03-31
10032,54699,1997-04-01,1998-03-31
10032,56413,1998-04-01,1999-03-31
10032,59755,1999-04-01,2000-03-31
10032,61092,2000-04-01,2001-03-31
10032,63836,2001-04-01,2002-03-31
10032,67494,2002-04-01,2003-03-31
10032,69648,2003-04-01,2004-03-31
10032,73799,2004-04-01,2005-03-31
10032,76773,2005-04-01,2006-03-31
10032,78737,2006-04-01,2007-03-31
10032,81891,2007-04-01,9999-01-01
10033,51174,2010-06-08,2011-06-07
10033,53809,2011-06-08,2012-06-07
10033,56087,2012-06-08,2012-11-24
10034,41240,2005-07-18,2006-07-17
10034,43109,2006-07-18,2007-07-17
10034,44450,2007-07-18,2008-07-17
10034,45198,2008-07-18,2009-07-17
10034,47242,2009-07-18,2010-07-17
10034,48582,2010-07-18,2011-07-17
10034,49408,2011-07-18,2012-07-17
10034,52126,2012-07-18,2013-07-17
10034,54025,2013-07-18,2014-07-17
10034,56193,2014-07-18,2015-07-17
10034,58048,2015-07-18,2016-07-17
10034,60375,2016-07-18,9999-01-01
10035,51684,2013-05-01,2014-04-30
10035,54135,2014-05-01,2015-04-30
10035,55302,2015-05-01,2016-04-30
10035,58081,2016-05-01,2017-04-30
10035,58974,2017-05-01,2018-04-30
10035,62402,2018-05-01,2019-04-30
10035,65990,2019-05-01,2020-04-30
10035,67206,2020-05-01,2021-04-30
10035,71026,2021-05-01,2022-04-30
10035,73786,2022-05-01,2023-04-30
10035,77238,2023-05-01,9999-01-01
10036,51677,1995-11-04,1996-11-03
10036,52926,1996-11-04,1997-11-03
10036,55272,1997-11-04,1998-11-03
10036,57194,1998-11-04,1999-11-03
10036,58840,1999-11-04,2000-11-03
10036,61574,2000-11-04,2001-11-03
10036,62503,2001-11-04,2002-11-03
10036,64488,2002-11-04,2003-11-03
10036,67588,2003-11-04,2004-11-03
10036,70671,2004-11-04,2005-11-03
10036,73688,2005-11-04,2006-11-03
10036,74862,2006-11-04,2007-11-03
10037,49976,2002-04-29,2003-04-28
10037,51737,2003-04-29,2004-04-28
10037,53411,2004-04-29,2005-04-28
10037,56220,2005-04-29,2006-04-28
10037,58639,2006-04-29,2007-04-28
10037,62108,2007-04-29,2008-04-28
10037,64094,2008-04-29,2009-04-28
10037,66791,2009-04-29,2010-04-28
10037,70626,2010-04-29,2011-04-28
10037,73941,2011-04-29,2012-04-28
10037,77456,2012-04-29,2013-04-28
10037,81530,2013-04-29,9999-01-01
10038,67992,2011-01-01,2011-12-31
10038,71408,2012-01-01,2012-12-29
10039,65836,2010-10-03,2011-10-02
10039,69744,2011-10-03,2012-10-02
10039,71264,2012-10-03,2013-10-02
10039,73711,2013-10-03,2014-10-02
10039,74978,2014-10-03,2015-10-02
10039,76778,2015-10-03,2016-10-02
10039,78539,2016-10-03,2017-10-02
10039,80470,2017-10-03,2018-10-02
10039,84924,2018-10-03,2019-10-02
10039,88589,2019-10-03,2020-10-02
10039,90708,2020-10-03,2021-10-02
10039,94432,2021-10-03,9999-01-01
10040,57981,1997-05-19,1998-05-18
10040,59144,1998-05-19,1999-05-18
10040,62034,1999-05-19,2000-05-18
10040,64375,2000-05-19,2001-05-18
10040,65906,2001-05-19,2002-05-18
10040,69035,2002-05-19,2003-05-18
10040,72825,2003-05-19,2004-05-18
10040,75625,2004-05-19,2005-05-18
10040,78838,2005-05-19,2006-05-18
10040,81210,2006-05-19,2007-05-18
10040,84592,2007-05-19,2008-05-18
10040,86873,2008-05-19,9999-01-01
10041,78108,1997-01-09,1998-01-08
10041,79590,1998-01-09,1999-01-08
10041,83783,1999-01-09,2000-01-08
10041,87796,2000-01-09,2001-01-08
10041,90544,2001-01-09,2002-01-08
10041,92462,2002-01-09,2003-01-08
10041,96903,2003-01-09,2004-01-08
10041,99341,2004-01-09,2005-01-08
10041,103468,2005-01-09,2006-01-08
10041,109098,2006-01-09,2007-01-08
10041,112853,2007-01-09,2008-01-08
10041,117561,2008-01-09,9999-01-01
10042,53852,2003-08-12,2004-08-11
10042,55045,2004-08-12,2005-08-11
10042,56700,2005-08-12,2006-08-11
10042,59589,2006-08-12,2007-08-11
10042,60543,2007-08-12,2008-08-11
10042,62163,2008-08-12,2009-08-11
10042,63206,2009-08-12,2010-08-11
10042,65932,2010-08-12,2011-08-11
10042,69781,2011-08-12,2012-08-11
10042,70939,2012-08-12,2013-08-11
10042,74094,2013-08-12,2014-08-11
10042,78357,2014-08-12,9999-01-01
10043,55880,1993-10-21,1994-10-20
10043,57297,1994-10-21,1995-10-20
10043,58326,1995-10-21,1996-10-20
10043,60905,1996-10-21,1997-10-20
10043,62207,1997-10-21,1998-10-20
10043,65367,1998-10-21,1999-10-20
10043,69222,1999-10-21,2000-10-20
10043,72307,2000-10-21,2001-10-20
10043,75561,2001-10-21,2002-10-20
10043,79927,2002-10-21,2003-10-20
10043,81317,2003-10-21,2004-10-20
10043,82649,2004-10-21,9999-01-01
10044,53919,2003-10-16,2004-10-15
10044,55649,2004-10-16,2005-10-15
10044,58365,2005-10-16,2006-10-15
10044,61092,2006-10-16,2007-10-15
10044,63536,2007-10-16,2008-10-15
10044,66433,2008-10-16,2009-10-15
10044,68582,2009-10-16,2010-10-15
10044,72247,2010-10-16,2011-10-15
10044,75141,2011-10-16,2012-10-15
10044,76996,2012-10-16,2013-10-15
10044,78152,2013-10-16,2014-10-15
10044,82766,2014-10-16,2015-10-15
10045,66805,2008-09-19,2009-09-18
10045,69323,2009-09-19,2010-09-18
10045,71742,2010-09-19,2011-09-18
10045,74062,2011-09-19,2012-09-18
10045,77733,2012-09-19,2013-09-18
10045,81689,2013-09-19,2014-09-18
10045,85650,2014-09-19,2015-09-18
10045,87629,2015-09-19,2016-09-18
10045,90068,2016-09-19,2017-09-18
10045,91566,2017-09-19,2018-09-18
10045,96257,2018-09-19,2019-09-18
10045,101725,2019-09-19,9999-01-01
10046,76550,2010-08-28,2011-08-27
10046,79787,2011-08-28,2012-08-27
10046,84413,2012-08-28,2013-08-27
10046,87137,2013-08-28,2014-08-27
10046,88612,2014-08-28,2015-08-27
10046,93491,2015-08-28,2016-08-27
10046,99041,2016-08-28,2017-08-27
10046,102431,2017-08-28,2018-08-27
10046,108101,2018-08-28,2019-08-27
10046,112962,2019-08-28,2020-08-27
10046,116297,2020-08-28,2021-08-27
10046,119536,2021-08-28,9999-01-01
10047,87972,2007-10-19,2008-10-18
10047,92983,2008-10-19,2009-10-18
10047,97900,2009-10-19,2010-10-18
10047,103271,2010-10-19,2011-10-18
10047,106248,2011-10-19,2012-10-18
10047,110758,2012-10-19,2013-10-18
10047,112783,2013-10-19,2014-10-18
10047,116056,2014-10-19,2015-10-18
10047,118800,2015-10-19,2016-10-18
10047,120734,2016-10-19,2017-10-18
10047,126984,2017-10-19,2018-10-18
10047,130246,2018-10-19,9999-01-01
10048,60114,2007-11-29,2008-11-28
10048,63556,2008-11-29,2009-11-28
10048,64985,2009-11-29,2010-11-28
10048,66702,2010-11-29,2011-11-28
10048,70600,2011-11-29,2012-11-28
10048,73476,2012-11-29,2013-11-28
10048,77507,2013-11-29,2014-11-28
10048,80986,2014-11-29,2015-11-28
10048,85147,2015-11-29,2016-11-28
10048,88059,2016-11-29,2017-11-28
10048,90842,2017-11-29,2018-11-28
10048,94026,2018-11-29,9999-01-01
10049,61007,1997-06-22,1998-06-21
10049,63006,1998-06-22,1999-06-21
10049,65225,1999-06-22,2000-06-21
10049,66864,2000-06-22,2001-06-21
10049,69710,2001-06-22,2002-06-21
10049,73071,2002-06-22,2003-06-21
10049,76123,2003-06-22,2004-06-21
10049,79335,2004-06-22,2005-06-21
10049,80723,2005-06-22,2006-06-21
10049,84213,2006-06-22,2007-06-21
10049,85616,2007-06-22,2008-06-21
10049,87119,2008-06-22,2009-06-21
10050,82910,2003-07-01,2004-06-30
10050,86140,2004-07-01,2005-06-30
10050,89441,2005-07-01,2006-06-30
10050,91699,2006-07-01,2007-06-30
10050,94509,2007-07-01,2008-05-22
10051,62194,2007-04-15,2008-04-14
10051,64826,2008-04-15,2009-04-14
10051,68173,2009-04-15,2010-04-14
10051,70582,2010-04-15,2011-04-14
10051,72335,2011-04-15,2012-04-14
10051,73643,2012-04-15,2013-04-14
10051,77751,2013-04-15,2014-04-14
10051,79020,2014-04-15,2015-04-14
10051,82867,2015-04-15,2016-04-14
10051,87500,2016-04-15,2017-04-14
10051,92655,2017-04-15,2018-04-14
10051,95242,2018-04-15,9999-01-01
10052,56526,1995-04-01,1996-03-31
10052,58616,1996-04-01,1997-03-31
10052,61187,1997-04-01,1998-03-31
10052,63631,1998-04-01,1999-03-31
10052,66984,1999-04-01,2000-03-31
10052,70770,2000-04-01,2001-03-31
10052,72440,2001-04-01,2002-03-31
10052,75410,2002-04-01,2002-07-16
10053,50679,2007-11-16,2008-11-15
10053,51842,2008-11-16,2009-11-15
10053,54332,2009-11-16,2010-11-15
10053,57591,2010-11-16,2011-11-15
10053,60217,2011-11-16,2012-11-15
10053,62362,2012-11-16,2013-11-15
10053,65760,2013-11-16,2014-11-15
10053,66905,2014-11-16,2015-11-15
10053,70231,2015-11-16,2016-11-15
10053,71354,2016-11-16,2017-11-15
10053,75093,2017-11-16,2018-11-15
10053,77985,2018-11-16,9999-01-01
10054,61085,1992-02-03,1993-02-02
10054,62360,1993-02-03,1994-02-02
10054,65679,1994-02-03,1995-02-02
10054,69580,1995-02-03,1996-02-02
10054,71929,1996-02-03,1997-02-02
10054,74001,1997-02-03,1998-02-02
10054,75800,1998-02-03,1999-02-02
10054,78487,1999-02-03,2000-02-02
10054,80032,2000-02-03,2001-02-02
10054,83769,2001-02-03,2002-02-02
10054,88627,2002-02-03,2003-02-02
10054,92751,2003-02-03,2004-02-02
10055,64089,2014-10-16,2015-10-15
10055,67821,2015-10-16,2016-10-15
10055,69922,2016-10-16,2017-10-15
10055,73488,2017-10-16,2018-10-15
10055,75146,2018-10-16,2019-10-15
10055,77074,2019-10-16,2020-10-15
10055,79463,2020-10-16,2021-10-15
10055,83110,2021-10-16,2022-10-15
10055,86750,2022-10-16,2023-10-15
10055,89836,2023-10-16,9999-01-01
10056,61855,2007-05-29,2008-05-28
10056,64236,2008-05-29,2009-05-28
10056,66636,2009-05-29,2010-05-28
10056,68998,2010-05-29,2011-05-28
10056,70218,2011-05-29,2012-05-28
10056,73726,2012-05-29,2013-05-28
10056,75912,2013-05-29,2014-05-28
10056,78052,2014-05-29,2015-05-28
10056,81708,2015-05-29,2016-05-28
10056,86236,2016-05-29,2017-05-28
10056,89358,2017-05-29,2018-05-28
10056,92844,2018-05-29,9999-01-01
10057,41381,2009-11-14,2010-11-13
10057,42144,2010-11-14,2011-11-13
10057,43142,2011-11-14,2012-11-13
10057,44245,2012-11-14,2013-11-13
10057,45682,2013-11-14,2014-11-13
10057,48346,2014-11-14,2015-11-13
10057,50299,2015-11-14,2016-11-13
10057,53217,2016-11-14,2017-11-13
10057,54304,2017-11-14,2018-11-13
10057,56898,2018-11-14,2019-11-13
10057,59857,2019-11-14,2020-11-13
10057,63183,2020-11-14,9999-01-01
10058,65495,2003-12-07,2004-12-06
10058,69284,2004-12-07,2005-12-06
10058,70970,2005-12-07,2006-12-06
10058,74158,2006-12-07,2007-12-06
10058,78430,2007-12-07,2008-12-06
10058,80448,2008-12-07,2009-12-06
10058,84117,2009-12-07,2010-12-06
10058,86974,2010-12-07,2011-12-06
10058,90994,2011-12-07,2012-12-06
10058,93430,2012-12-07,2013-12-06
10058,98472,2013-12-07,2014-12-06
10058,104091,2014-12-07,9999-01-01
10059,57677,2003-04-15,2004-04-14
10059,60494,2004-04-15,2005-04-14
10059,62951,2005-04-15,2006-04-14
10059,66313,2006-04-15,2007-04-14
10059,69988,2007-04-15,2008-04-14
10059,72641,2008-04-15,2009-04-14
10059,75777,2009-04-15,2010-04-14
10059,77914,2010-04-15,2011-04-14
10059,81974,2011-04-15,2012-04-14
10059,86651,2012-04-15,2013-04-14
10059,90918,2013-04-15,2014-04-14
10059,95021,2014-04-15,9999-01-01
10060,70378,2014-03-27,2015-03-26
10060,73637,2015-03-27,2016-03-26
10060,75997,2016-03-27,2017-03-26
10060,77975,2017-03-27,2018-03-26
10060,82295,2018-03-27,2019-03-26
10060,84076,2019-03-27,2020-03-26
10060,88143,2020-03-27,2021-03-26
10060,89597,2021-03-27,2022-03-26
10060,93726,2022-03-27,2023-03-26
10060,96158,2023-03-27,9999-01-01
10061,74545,1991-07-23,1992-07-22
10061,75889,1992-07-23,1993-07-22
10061,79470,1993-07-23,1994-07-22
10061,81835,1994-07-23,1995-02-08
10062,58433,2012-01-05,2013-01-04
10062,59341,2013-01-05,2014-01-04
10062,61316,2014-01-05,2015-01-04
10062,64282,2015-01-05,2016-01-04
10062,67667,2016-01-05,2017-01-04
10062,69528,2017-01-05,2018-01-04
10062,72687,2018-01-05,2019-01-04
10062,74597,2019-01-05,2020-01-04
10062,78831,2020-01-05,2021-01-04
10062,81216,2021-01-05,2022-01-04
10062,85089,2022-01-05,2023-01-04
10062,88766,2023-01-05,9999-01-01
10063,46647,2009-12-01,2010-11-30
10063,48923,2010-12-01,2011-11-30
10063,51003,2011-12-01,2012-11-30
10063,53973,2012-12-01,2013-11-30
10063,56262,2013-12-01,2014-11-30
10063,59092,2014-12-01,2015-11-30
10063,62525,2015-12-01,2016-11-30
10063,64673,2016-12-01,2017-11-30
10063,65720,2017-12-01,2018-11-30
10063,69174,2018-12-01,2019-11-30
10063,73283,2019-12-01,2020-11-30
10063,77432,2020-12-01,9999-01-01
10064,65679,2008-04-05,2009-04-04
